@relation 'Crafting materials-weka.filters.unsupervised.attribute.Remove-R1-10,12'

@attribute 01_change_type {D,U,S}
@attribute p_change_day1_to_day2 numeric
@attribute p_change_day2_to_day3 numeric
@attribute p_change_day3_to_day4 numeric
@attribute p_change_day4_to_day5 numeric
@attribute p_change_day5_to_day6 numeric
@attribute p_change_day6_to_day7 numeric
@attribute p_change_day7_to_day8 numeric
@attribute p_change_day8_to_day9 numeric
@attribute p_change_day9_to_day10 numeric
@attribute p_change_day10_to_day11 numeric
@attribute p_change_day11_to_day12 numeric
@attribute p_change_day12_to_day13 numeric
@attribute p_change_day13_to_day14 numeric
@attribute p_change_day14_to_day15 numeric
@attribute p_change_day15_to_day16 numeric
@attribute p_change_day16_to_day17 numeric
@attribute p_change_day17_to_day18 numeric
@attribute p_change_day18_to_day19 numeric
@attribute p_change_day19_to_day20 numeric
@attribute p_change_day20_to_day21 numeric
@attribute p_change_day21_to_day22 numeric
@attribute p_change_day22_to_day23 numeric
@attribute p_change_day23_to_day24 numeric
@attribute p_change_day24_to_day25 numeric
@attribute p_change_day25_to_day26 numeric
@attribute p_change_day26_to_day27 numeric
@attribute p_change_day27_to_day28 numeric
@attribute p_change_day28_to_day29 numeric

@data
U,4.423749,3.022308,-0.239292,0.408457,0,1.909892,-1.185579,3.221778,0,-1.355014,-2.708533,0.602845,0,-0.336458,0.726216,-0.409836,0,-1.167501,-1.916336,2.835857,0,2.538196,0.445545,0,4.365797,5.018991,2.445803,-1.126683
U,4.972129,4.423749,3.022308,-0.239292,0.408457,0,1.909892,-1.185579,3.221778,0,-1.355014,-2.708533,0.602845,0,-0.336458,0.726216,-0.409836,0,-1.167501,-1.916336,2.835857,0,2.538196,0.445545,0,4.365797,5.018991,2.445803
D,4.991504,4.972129,4.423749,3.022308,-0.239292,0.408457,0,1.909892,-1.185579,3.221778,0,-1.355014,-2.708533,0.602845,0,-0.336458,0.726216,-0.409836,0,-1.167501,-1.916336,2.835857,0,2.538196,0.445545,0,4.365797,5.018991
D,-3.075056,4.991504,4.972129,4.423749,3.022308,-0.239292,0.408457,0,1.909892,-1.185579,3.221778,0,-1.355014,-2.708533,0.602845,0,-0.336458,0.726216,-0.409836,0,-1.167501,-1.916336,2.835857,0,2.538196,0.445545,0,4.365797
D,-4.445836,-3.075056,4.991504,4.972129,4.423749,3.022308,-0.239292,0.408457,0,1.909892,-1.185579,3.221778,0,-1.355014,-2.708533,0.602845,0,-0.336458,0.726216,-0.409836,0,-1.167501,-1.916336,2.835857,0,2.538196,0.445545,0
D,-5.002184,-4.445836,-3.075056,4.991504,4.972129,4.423749,3.022308,-0.239292,0.408457,0,1.909892,-1.185579,3.221778,0,-1.355014,-2.708533,0.602845,0,-0.336458,0.726216,-0.409836,0,-1.167501,-1.916336,2.835857,0,2.538196,0.445545
D,-4.575765,-5.002184,-4.445836,-3.075056,4.991504,4.972129,4.423749,3.022308,-0.239292,0.408457,0,1.909892,-1.185579,3.221778,0,-1.355014,-2.708533,0.602845,0,-0.336458,0.726216,-0.409836,0,-1.167501,-1.916336,2.835857,0,2.538196
D,-5.012048,-4.575765,-5.002184,-4.445836,-3.075056,4.991504,4.972129,4.423749,3.022308,-0.239292,0.408457,0,1.909892,-1.185579,3.221778,0,-1.355014,-2.708533,0.602845,0,-0.336458,0.726216,-0.409836,0,-1.167501,-1.916336,2.835857,0
D,-5.022831,-5.012048,-4.575765,-5.002184,-4.445836,-3.075056,4.991504,4.972129,4.423749,3.022308,-0.239292,0.408457,0,1.909892,-1.185579,3.221778,0,-1.355014,-2.708533,0.602845,0,-0.336458,0.726216,-0.409836,0,-1.167501,-1.916336,2.835857
D,-4.407051,-5.022831,-5.012048,-4.575765,-5.002184,-4.445836,-3.075056,4.991504,4.972129,4.423749,3.022308,-0.239292,0.408457,0,1.909892,-1.185579,3.221778,0,-1.355014,-2.708533,0.602845,0,-0.336458,0.726216,-0.409836,0,-1.167501,-1.916336
D,-4.973456,-4.407051,-5.022831,-5.012048,-4.575765,-5.002184,-4.445836,-3.075056,4.991504,4.972129,4.423749,3.022308,-0.239292,0.408457,0,1.909892,-1.185579,3.221778,0,-1.355014,-2.708533,0.602845,0,-0.336458,0.726216,-0.409836,0,-1.167501
S,-4.91032,-4.973456,-4.407051,-5.022831,-5.012048,-4.575765,-5.002184,-4.445836,-3.075056,4.991504,4.972129,4.423749,3.022308,-0.239292,0.408457,0,1.909892,-1.185579,3.221778,0,-1.355014,-2.708533,0.602845,0,-0.336458,0.726216,-0.409836,0
D,0,-4.91032,-4.973456,-4.407051,-5.022831,-5.012048,-4.575765,-5.002184,-4.445836,-3.075056,4.991504,4.972129,4.423749,3.022308,-0.239292,0.408457,0,1.909892,-1.185579,3.221778,0,-1.355014,-2.708533,0.602845,0,-0.336458,0.726216,-0.409836
D,-4.730983,0,-4.91032,-4.973456,-4.407051,-5.022831,-5.012048,-4.575765,-5.002184,-4.445836,-3.075056,4.991504,4.972129,4.423749,3.022308,-0.239292,0.408457,0,1.909892,-1.185579,3.221778,0,-1.355014,-2.708533,0.602845,0,-0.336458,0.726216
D,-3.602726,-4.730983,0,-4.91032,-4.973456,-4.407051,-5.022831,-5.012048,-4.575765,-5.002184,-4.445836,-3.075056,4.991504,4.972129,4.423749,3.022308,-0.239292,0.408457,0,1.909892,-1.185579,3.221778,0,-1.355014,-2.708533,0.602845,0,-0.336458
D,-3.939394,-3.602726,-4.730983,0,-4.91032,-4.973456,-4.407051,-5.022831,-5.012048,-4.575765,-5.002184,-4.445836,-3.075056,4.991504,4.972129,4.423749,3.022308,-0.239292,0.408457,0,1.909892,-1.185579,3.221778,0,-1.355014,-2.708533,0.602845,0
D,-3.154574,-3.939394,-3.602726,-4.730983,0,-4.91032,-4.973456,-4.407051,-5.022831,-5.012048,-4.575765,-5.002184,-4.445836,-3.075056,4.991504,4.972129,4.423749,3.022308,-0.239292,0.408457,0,1.909892,-1.185579,3.221778,0,-1.355014,-2.708533,0.602845
S,-3.69164,-3.154574,-3.939394,-3.602726,-4.730983,0,-4.91032,-4.973456,-4.407051,-5.022831,-5.012048,-4.575765,-5.002184,-4.445836,-3.075056,4.991504,4.972129,4.423749,3.022308,-0.239292,0.408457,0,1.909892,-1.185579,3.221778,0,-1.355014,-2.708533
U,0,-3.69164,-3.154574,-3.939394,-3.602726,-4.730983,0,-4.91032,-4.973456,-4.407051,-5.022831,-5.012048,-4.575765,-5.002184,-4.445836,-3.075056,4.991504,4.972129,4.423749,3.022308,-0.239292,0.408457,0,1.909892,-1.185579,3.221778,0,-1.355014
U,3.532507,0,-3.69164,-3.154574,-3.939394,-3.602726,-4.730983,0,-4.91032,-4.973456,-4.407051,-5.022831,-5.012048,-4.575765,-5.002184,-4.445836,-3.075056,4.991504,4.972129,4.423749,3.022308,-0.239292,0.408457,0,1.909892,-1.185579,3.221778,0
U,3.520871,3.532507,0,-3.69164,-3.154574,-3.939394,-3.602726,-4.730983,0,-4.91032,-4.973456,-4.407051,-5.022831,-5.012048,-4.575765,-5.002184,-4.445836,-3.075056,4.991504,4.972129,4.423749,3.022308,-0.239292,0.408457,0,1.909892,-1.185579,3.221778
U,0.350631,3.520871,3.532507,0,-3.69164,-3.154574,-3.939394,-3.602726,-4.730983,0,-4.91032,-4.973456,-4.407051,-5.022831,-5.012048,-4.575765,-5.002184,-4.445836,-3.075056,4.991504,4.972129,4.423749,3.022308,-0.239292,0.408457,0,1.909892,-1.185579
D,0.698812,0.350631,3.520871,3.532507,0,-3.69164,-3.154574,-3.939394,-3.602726,-4.730983,0,-4.91032,-4.973456,-4.407051,-5.022831,-5.012048,-4.575765,-5.002184,-4.445836,-3.075056,4.991504,4.972129,4.423749,3.022308,-0.239292,0.408457,0,1.909892
S,-1.075642,0.698812,0.350631,3.520871,3.532507,0,-3.69164,-3.154574,-3.939394,-3.602726,-4.730983,0,-4.91032,-4.973456,-4.407051,-5.022831,-5.012048,-4.575765,-5.002184,-4.445836,-3.075056,4.991504,4.972129,4.423749,3.022308,-0.239292,0.408457,0
U,0,-1.075642,0.698812,0.350631,3.520871,3.532507,0,-3.69164,-3.154574,-3.939394,-3.602726,-4.730983,0,-4.91032,-4.973456,-4.407051,-5.022831,-5.012048,-4.575765,-5.002184,-4.445836,-3.075056,4.991504,4.972129,4.423749,3.022308,-0.239292,0.408457
D,0.140302,0,-1.075642,0.698812,0.350631,3.520871,3.532507,0,-3.69164,-3.154574,-3.939394,-3.602726,-4.730983,0,-4.91032,-4.973456,-4.407051,-5.022831,-5.012048,-4.575765,-5.002184,-4.445836,-3.075056,4.991504,4.972129,4.423749,3.022308,-0.239292
U,-0.350263,0.140302,0,-1.075642,0.698812,0.350631,3.520871,3.532507,0,-3.69164,-3.154574,-3.939394,-3.602726,-4.730983,0,-4.91032,-4.973456,-4.407051,-5.022831,-5.012048,-4.575765,-5.002184,-4.445836,-3.075056,4.991504,4.972129,4.423749,3.022308
U,1.089631,-0.350263,0.140302,0,-1.075642,0.698812,0.350631,3.520871,3.532507,0,-3.69164,-3.154574,-3.939394,-3.602726,-4.730983,0,-4.91032,-4.973456,-4.407051,-5.022831,-5.012048,-4.575765,-5.002184,-4.445836,-3.075056,4.991504,4.972129,4.423749
U,3.511822,1.089631,-0.350263,0.140302,0,-1.075642,0.698812,0.350631,3.520871,3.532507,0,-3.69164,-3.154574,-3.939394,-3.602726,-4.730983,0,-4.91032,-4.973456,-4.407051,-5.022831,-5.012048,-4.575765,-5.002184,-4.445836,-3.075056,4.991504,4.972129
S,0.40309,3.511822,1.089631,-0.350263,0.140302,0,-1.075642,0.698812,0.350631,3.520871,3.532507,0,-3.69164,-3.154574,-3.939394,-3.602726,-4.730983,0,-4.91032,-4.973456,-4.407051,-5.022831,-5.012048,-4.575765,-5.002184,-4.445836,-3.075056,4.991504
U,0,0.40309,3.511822,1.089631,-0.350263,0.140302,0,-1.075642,0.698812,0.350631,3.520871,3.532507,0,-3.69164,-3.154574,-3.939394,-3.602726,-4.730983,0,-4.91032,-4.973456,-4.407051,-5.022831,-5.012048,-4.575765,-5.002184,-4.445836,-3.075056
D,3.880897,0,0.40309,3.511822,1.089631,-0.350263,0.140302,0,-1.075642,0.698812,0.350631,3.520871,3.532507,0,-3.69164,-3.154574,-3.939394,-3.602726,-4.730983,0,-4.91032,-4.973456,-4.407051,-5.022831,-5.012048,-4.575765,-5.002184,-4.445836
D,-4.025765,3.880897,0,0.40309,3.511822,1.089631,-0.350263,0.140302,0,-1.075642,0.698812,0.350631,3.520871,3.532507,0,-3.69164,-3.154574,-3.939394,-3.602726,-4.730983,0,-4.91032,-4.973456,-4.407051,-5.022831,-5.012048,-4.575765,-5.002184
D,-4.161074,-4.025765,3.880897,0,0.40309,3.511822,1.089631,-0.350263,0.140302,0,-1.075642,0.698812,0.350631,3.520871,3.532507,0,-3.69164,-3.154574,-3.939394,-3.602726,-4.730983,0,-4.91032,-4.973456,-4.407051,-5.022831,-5.012048,-4.575765
S,-2.97619,-4.161074,-4.025765,3.880897,0,0.40309,3.511822,1.089631,-0.350263,0.140302,0,-1.075642,0.698812,0.350631,3.520871,3.532507,0,-3.69164,-3.154574,-3.939394,-3.602726,-4.730983,0,-4.91032,-4.973456,-4.407051,-5.022831,-5.012048
D,0,-2.97619,-4.161074,-4.025765,3.880897,0,0.40309,3.511822,1.089631,-0.350263,0.140302,0,-1.075642,0.698812,0.350631,3.520871,3.532507,0,-3.69164,-3.154574,-3.939394,-3.602726,-4.730983,0,-4.91032,-4.973456,-4.407051,-5.022831
U,-2.309636,0,-2.97619,-4.161074,-4.025765,3.880897,0,0.40309,3.511822,1.089631,-0.350263,0.140302,0,-1.075642,0.698812,0.350631,3.520871,3.532507,0,-3.69164,-3.154574,-3.939394,-3.602726,-4.730983,0,-4.91032,-4.973456,-4.407051
U,3.878833,-2.309636,0,-2.97619,-4.161074,-4.025765,3.880897,0,0.40309,3.511822,1.089631,-0.350263,0.140302,0,-1.075642,0.698812,0.350631,3.520871,3.532507,0,-3.69164,-3.154574,-3.939394,-3.602726,-4.730983,0,-4.91032,-4.973456
U,0.497866,3.878833,-2.309636,0,-2.97619,-4.161074,-4.025765,3.880897,0,0.40309,3.511822,1.089631,-0.350263,0.140302,0,-1.075642,0.698812,0.350631,3.520871,3.532507,0,-3.69164,-3.154574,-3.939394,-3.602726,-4.730983,0,-4.91032
D,0.389243,0.497866,3.878833,-2.309636,0,-2.97619,-4.161074,-4.025765,3.880897,0,0.40309,3.511822,1.089631,-0.350263,0.140302,0,-1.075642,0.698812,0.350631,3.520871,3.532507,0,-3.69164,-3.154574,-3.939394,-3.602726,-4.730983,0
S,-0.70497,0.389243,0.497866,3.878833,-2.309636,0,-2.97619,-4.161074,-4.025765,3.880897,0,0.40309,3.511822,1.089631,-0.350263,0.140302,0,-1.075642,0.698812,0.350631,3.520871,3.532507,0,-3.69164,-3.154574,-3.939394,-3.602726,-4.730983
D,0,-0.70497,0.389243,0.497866,3.878833,-2.309636,0,-2.97619,-4.161074,-4.025765,3.880897,0,0.40309,3.511822,1.089631,-0.350263,0.140302,0,-1.075642,0.698812,0.350631,3.520871,3.532507,0,-3.69164,-3.154574,-3.939394,-3.602726
U,-1.668442,0,-0.70497,0.389243,0.497866,3.878833,-2.309636,0,-2.97619,-4.161074,-4.025765,3.880897,0,0.40309,3.511822,1.089631,-0.350263,0.140302,0,-1.075642,0.698812,0.350631,3.520871,3.532507,0,-3.69164,-3.154574,-3.939394
S,0.397112,-1.668442,0,-0.70497,0.389243,0.497866,3.878833,-2.309636,0,-2.97619,-4.161074,-4.025765,3.880897,0,0.40309,3.511822,1.089631,-0.350263,0.140302,0,-1.075642,0.698812,0.350631,3.520871,3.532507,0,-3.69164,-3.154574
D,0,0.397112,-1.668442,0,-0.70497,0.389243,0.497866,3.878833,-2.309636,0,-2.97619,-4.161074,-4.025765,3.880897,0,0.40309,3.511822,1.089631,-0.350263,0.140302,0,-1.075642,0.698812,0.350631,3.520871,3.532507,0,-3.69164
D,-1.402373,0,0.397112,-1.668442,0,-0.70497,0.389243,0.497866,3.878833,-2.309636,0,-2.97619,-4.161074,-4.025765,3.880897,0,0.40309,3.511822,1.089631,-0.350263,0.140302,0,-1.075642,0.698812,0.350631,3.520871,3.532507,0
D,-1.495259,-1.402373,0,0.397112,-1.668442,0,-0.70497,0.389243,0.497866,3.878833,-2.309636,0,-2.97619,-4.161074,-4.025765,3.880897,0,0.40309,3.511822,1.089631,-0.350263,0.140302,0,-1.075642,0.698812,0.350631,3.520871,3.532507
S,-0.296187,-1.495259,-1.402373,0,0.397112,-1.668442,0,-0.70497,0.389243,0.497866,3.878833,-2.309636,0,-2.97619,-4.161074,-4.025765,3.880897,0,0.40309,3.511822,1.089631,-0.350263,0.140302,0,-1.075642,0.698812,0.350631,3.520871
U,0,-0.296187,-1.495259,-1.402373,0,0.397112,-1.668442,0,-0.70497,0.389243,0.497866,3.878833,-2.309636,0,-2.97619,-4.161074,-4.025765,3.880897,0,0.40309,3.511822,1.089631,-0.350263,0.140302,0,-1.075642,0.698812,0.350631
D,2.153732,0,-0.296187,-1.495259,-1.402373,0,0.397112,-1.668442,0,-0.70497,0.389243,0.497866,3.878833,-2.309636,0,-2.97619,-4.161074,-4.025765,3.880897,0,0.40309,3.511822,1.089631,-0.350263,0.140302,0,-1.075642,0.698812
S,-0.290803,2.153732,0,-0.296187,-1.495259,-1.402373,0,0.397112,-1.668442,0,-0.70497,0.389243,0.497866,3.878833,-2.309636,0,-2.97619,-4.161074,-4.025765,3.880897,0,0.40309,3.511822,1.089631,-0.350263,0.140302,0,-1.075642
D,0,-0.290803,2.153732,0,-0.296187,-1.495259,-1.402373,0,0.397112,-1.668442,0,-0.70497,0.389243,0.497866,3.878833,-2.309636,0,-2.97619,-4.161074,-4.025765,3.880897,0,0.40309,3.511822,1.089631,-0.350263,0.140302,0
D,-1.494714,0,-0.290803,2.153732,0,-0.296187,-1.495259,-1.402373,0,0.397112,-1.668442,0,-0.70497,0.389243,0.497866,3.878833,-2.309636,0,-2.97619,-4.161074,-4.025765,3.880897,0,0.40309,3.511822,1.089631,-0.350263,0.140302
D,-2.886751,-1.494714,0,-0.290803,2.153732,0,-0.296187,-1.495259,-1.402373,0,0.397112,-1.668442,0,-0.70497,0.389243,0.497866,3.878833,-2.309636,0,-2.97619,-4.161074,-4.025765,3.880897,0,0.40309,3.511822,1.089631,-0.350263
D,-1.143293,-2.886751,-1.494714,0,-0.290803,2.153732,0,-0.296187,-1.495259,-1.402373,0,0.397112,-1.668442,0,-0.70497,0.389243,0.497866,3.878833,-2.309636,0,-2.97619,-4.161074,-4.025765,3.880897,0,0.40309,3.511822,1.089631
S,-1.426369,-1.143293,-2.886751,-1.494714,0,-0.290803,2.153732,0,-0.296187,-1.495259,-1.402373,0,0.397112,-1.668442,0,-0.70497,0.389243,0.497866,3.878833,-2.309636,0,-2.97619,-4.161074,-4.025765,3.880897,0,0.40309,3.511822
U,0,-1.426369,-1.143293,-2.886751,-1.494714,0,-0.290803,2.153732,0,-0.296187,-1.495259,-1.402373,0,0.397112,-1.668442,0,-0.70497,0.389243,0.497866,3.878833,-2.309636,0,-2.97619,-4.161074,-4.025765,3.880897,0,0.40309
D,0.70395,0,-1.426369,-1.143293,-2.886751,-1.494714,0,-0.290803,2.153732,0,-0.296187,-1.495259,-1.402373,0,0.397112,-1.668442,0,-0.70497,0.389243,0.497866,3.878833,-2.309636,0,-2.97619,-4.161074,-4.025765,3.880897,0
S,-0.660194,0.70395,0,-1.426369,-1.143293,-2.886751,-1.494714,0,-0.290803,2.153732,0,-0.296187,-1.495259,-1.402373,0,0.397112,-1.668442,0,-0.70497,0.389243,0.497866,3.878833,-2.309636,0,-2.97619,-4.161074,-4.025765,3.880897
U,0,-0.660194,0.70395,0,-1.426369,-1.143293,-2.886751,-1.494714,0,-0.290803,2.153732,0,-0.296187,-1.495259,-1.402373,0,0.397112,-1.668442,0,-0.70497,0.389243,0.497866,3.878833,-2.309636,0,-2.97619,-4.161074,-4.025765
U,0.430023,0,-0.660194,0.70395,0,-1.426369,-1.143293,-2.886751,-1.494714,0,-0.290803,2.153732,0,-0.296187,-1.495259,-1.402373,0,0.397112,-1.668442,0,-0.70497,0.389243,0.497866,3.878833,-2.309636,0,-2.97619,-4.161074
U,2.608019,0.430023,0,-0.660194,0.70395,0,-1.426369,-1.143293,-2.886751,-1.494714,0,-0.290803,2.153732,0,-0.296187,-1.495259,-1.402373,0,0.397112,-1.668442,0,-0.70497,0.389243,0.497866,3.878833,-2.309636,0,-2.97619
S,1.479514,2.608019,0.430023,0,-0.660194,0.70395,0,-1.426369,-1.143293,-2.886751,-1.494714,0,-0.290803,2.153732,0,-0.296187,-1.495259,-1.402373,0,0.397112,-1.668442,0,-0.70497,0.389243,0.497866,3.878833,-2.309636,0
D,0,1.479514,2.608019,0.430023,0,-0.660194,0.70395,0,-1.426369,-1.143293,-2.886751,-1.494714,0,-0.290803,2.153732,0,-0.296187,-1.495259,-1.402373,0,0.397112,-1.668442,0,-0.70497,0.389243,0.497866,3.878833,-2.309636
D,-2.130841,0,1.479514,2.608019,0.430023,0,-0.660194,0.70395,0,-1.426369,-1.143293,-2.886751,-1.494714,0,-0.290803,2.153732,0,-0.296187,-1.495259,-1.402373,0,0.397112,-1.668442,0,-0.70497,0.389243,0.497866,3.878833
S,-1.566081,-2.130841,0,1.479514,2.608019,0.430023,0,-0.660194,0.70395,0,-1.426369,-1.143293,-2.886751,-1.494714,0,-0.290803,2.153732,0,-0.296187,-1.495259,-1.402373,0,0.397112,-1.668442,0,-0.70497,0.389243,0.497866
D,0,-1.566081,-2.130841,0,1.479514,2.608019,0.430023,0,-0.660194,0.70395,0,-1.426369,-1.143293,-2.886751,-1.494714,0,-0.290803,2.153732,0,-0.296187,-1.495259,-1.402373,0,0.397112,-1.668442,0,-0.70497,0.389243
U,-2.289484,0,-1.566081,-2.130841,0,1.479514,2.608019,0.430023,0,-0.660194,0.70395,0,-1.426369,-1.143293,-2.886751,-1.494714,0,-0.290803,2.153732,0,-0.296187,-1.495259,-1.402373,0,0.397112,-1.668442,0,-0.70497
U,2.700556,-2.289484,0,-1.566081,-2.130841,0,1.479514,2.608019,0.430023,0,-0.660194,0.70395,0,-1.426369,-1.143293,-2.886751,-1.494714,0,-0.290803,2.153732,0,-0.296187,-1.495259,-1.402373,0,0.397112,-1.668442,0
S,1.933488,2.700556,-2.289484,0,-1.566081,-2.130841,0,1.479514,2.608019,0.430023,0,-0.660194,0.70395,0,-1.426369,-1.143293,-2.886751,-1.494714,0,-0.290803,2.153732,0,-0.296187,-1.495259,-1.402373,0,0.397112,-1.668442
U,0,1.933488,2.700556,-2.289484,0,-1.566081,-2.130841,0,1.479514,2.608019,0.430023,0,-0.660194,0.70395,0,-1.426369,-1.143293,-2.886751,-1.494714,0,-0.290803,2.153732,0,-0.296187,-1.495259,-1.402373,0,0.397112
U,1.631259,0,1.933488,2.700556,-2.289484,0,-1.566081,-2.130841,0,1.479514,2.608019,0.430023,0,-0.660194,0.70395,0,-1.426369,-1.143293,-2.886751,-1.494714,0,-0.290803,2.153732,0,-0.296187,-1.495259,-1.402373,0
S,4.143337,1.631259,0,1.933488,2.700556,-2.289484,0,-1.566081,-2.130841,0,1.479514,2.608019,0.430023,0,-0.660194,0.70395,0,-1.426369,-1.143293,-2.886751,-1.494714,0,-0.290803,2.153732,0,-0.296187,-1.495259,-1.402373
U,0.687907,0.290487,-0.433839,-1.880099,-0.913884,-1.523018,0.452017,1.625442,0.461484,0.427807,0.393701,1.6,1.326455,0.258589,1.996986,-0.562008,-0.595903,0.223964,-0.997783,1.121076,-0.925583,-4.049734,-3.231351,1.147427,4.543802,2.764288,0.639098,1.915709
D,0.21575,0.687907,0.290487,-0.433839,-1.880099,-0.913884,-1.523018,0.452017,1.625442,0.461484,0.427807,0.393701,1.6,1.326455,0.258589,1.996986,-0.562008,-0.595903,0.223964,-0.997783,1.121076,-0.925583,-4.049734,-3.231351,1.147427,4.543802,2.764288,0.639098
D,-0.717618,0.21575,0.687907,0.290487,-0.433839,-1.880099,-0.913884,-1.523018,0.452017,1.625442,0.461484,0.427807,0.393701,1.6,1.326455,0.258589,1.996986,-0.562008,-0.595903,0.223964,-0.997783,1.121076,-0.925583,-4.049734,-3.231351,1.147427,4.543802,2.764288
U,-1.048066,-0.717618,0.21575,0.687907,0.290487,-0.433839,-1.880099,-0.913884,-1.523018,0.452017,1.625442,0.461484,0.427807,0.393701,1.6,1.326455,0.258589,1.996986,-0.562008,-0.595903,0.223964,-0.997783,1.121076,-0.925583,-4.049734,-3.231351,1.147427,4.543802
D,0.36523,-1.048066,-0.717618,0.21575,0.687907,0.290487,-0.433839,-1.880099,-0.913884,-1.523018,0.452017,1.625442,0.461484,0.427807,0.393701,1.6,1.326455,0.258589,1.996986,-0.562008,-0.595903,0.223964,-0.997783,1.121076,-0.925583,-4.049734,-3.231351,1.147427
U,-2.328967,0.36523,-1.048066,-0.717618,0.21575,0.687907,0.290487,-0.433839,-1.880099,-0.913884,-1.523018,0.452017,1.625442,0.461484,0.427807,0.393701,1.6,1.326455,0.258589,1.996986,-0.562008,-0.595903,0.223964,-0.997783,1.121076,-0.925583,-4.049734,-3.231351
U,2.868852,-2.328967,0.36523,-1.048066,-0.717618,0.21575,0.687907,0.290487,-0.433839,-1.880099,-0.913884,-1.523018,0.452017,1.625442,0.461484,0.427807,0.393701,1.6,1.326455,0.258589,1.996986,-0.562008,-0.595903,0.223964,-0.997783,1.121076,-0.925583,-4.049734
D,0.760594,2.868852,-2.328967,0.36523,-1.048066,-0.717618,0.21575,0.687907,0.290487,-0.433839,-1.880099,-0.913884,-1.523018,0.452017,1.625442,0.461484,0.427807,0.393701,1.6,1.326455,0.258589,1.996986,-0.562008,-0.595903,0.223964,-0.997783,1.121076,-0.925583
U,-2.659957,0.760594,2.868852,-2.328967,0.36523,-1.048066,-0.717618,0.21575,0.687907,0.290487,-0.433839,-1.880099,-0.913884,-1.523018,0.452017,1.625442,0.461484,0.427807,0.393701,1.6,1.326455,0.258589,1.996986,-0.562008,-0.595903,0.223964,-0.997783,1.121076
U,0.073855,-2.659957,0.760594,2.868852,-2.328967,0.36523,-1.048066,-0.717618,0.21575,0.687907,0.290487,-0.433839,-1.880099,-0.913884,-1.523018,0.452017,1.625442,0.461484,0.427807,0.393701,1.6,1.326455,0.258589,1.996986,-0.562008,-0.595903,0.223964,-0.997783
U,0.701107,0.073855,-2.659957,0.760594,2.868852,-2.328967,0.36523,-1.048066,-0.717618,0.21575,0.687907,0.290487,-0.433839,-1.880099,-0.913884,-1.523018,0.452017,1.625442,0.461484,0.427807,0.393701,1.6,1.326455,0.258589,1.996986,-0.562008,-0.595903,0.223964
D,0.659582,0.701107,0.073855,-2.659957,0.760594,2.868852,-2.328967,0.36523,-1.048066,-0.717618,0.21575,0.687907,0.290487,-0.433839,-1.880099,-0.913884,-1.523018,0.452017,1.625442,0.461484,0.427807,0.393701,1.6,1.326455,0.258589,1.996986,-0.562008,-0.595903
U,-1.237714,0.659582,0.701107,0.073855,-2.659957,0.760594,2.868852,-2.328967,0.36523,-1.048066,-0.717618,0.21575,0.687907,0.290487,-0.433839,-1.880099,-0.913884,-1.523018,0.452017,1.625442,0.461484,0.427807,0.393701,1.6,1.326455,0.258589,1.996986,-0.562008
U,0.626613,-1.237714,0.659582,0.701107,0.073855,-2.659957,0.760594,2.868852,-2.328967,0.36523,-1.048066,-0.717618,0.21575,0.687907,0.290487,-0.433839,-1.880099,-0.913884,-1.523018,0.452017,1.625442,0.461484,0.427807,0.393701,1.6,1.326455,0.258589,1.996986
D,1.428571,0.626613,-1.237714,0.659582,0.701107,0.073855,-2.659957,0.760594,2.868852,-2.328967,0.36523,-1.048066,-0.717618,0.21575,0.687907,0.290487,-0.433839,-1.880099,-0.913884,-1.523018,0.452017,1.625442,0.461484,0.427807,0.393701,1.6,1.326455,0.258589
D,-1.444565,1.428571,0.626613,-1.237714,0.659582,0.701107,0.073855,-2.659957,0.760594,2.868852,-2.328967,0.36523,-1.048066,-0.717618,0.21575,0.687907,0.290487,-0.433839,-1.880099,-0.913884,-1.523018,0.452017,1.625442,0.461484,0.427807,0.393701,1.6,1.326455
D,-2.455112,-1.444565,1.428571,0.626613,-1.237714,0.659582,0.701107,0.073855,-2.659957,0.760594,2.868852,-2.328967,0.36523,-1.048066,-0.717618,0.21575,0.687907,0.290487,-0.433839,-1.880099,-0.913884,-1.523018,0.452017,1.625442,0.461484,0.427807,0.393701,1.6
D,-1.314801,-2.455112,-1.444565,1.428571,0.626613,-1.237714,0.659582,0.701107,0.073855,-2.659957,0.760594,2.868852,-2.328967,0.36523,-1.048066,-0.717618,0.21575,0.687907,0.290487,-0.433839,-1.880099,-0.913884,-1.523018,0.452017,1.625442,0.461484,0.427807,0.393701
U,-0.532927,-1.314801,-2.455112,-1.444565,1.428571,0.626613,-1.237714,0.659582,0.701107,0.073855,-2.659957,0.760594,2.868852,-2.328967,0.36523,-1.048066,-0.717618,0.21575,0.687907,0.290487,-0.433839,-1.880099,-0.913884,-1.523018,0.452017,1.625442,0.461484,0.427807
U,1.569078,-0.532927,-1.314801,-2.455112,-1.444565,1.428571,0.626613,-1.237714,0.659582,0.701107,0.073855,-2.659957,0.760594,2.868852,-2.328967,0.36523,-1.048066,-0.717618,0.21575,0.687907,0.290487,-0.433839,-1.880099,-0.913884,-1.523018,0.452017,1.625442,0.461484
